imageFile,generatedCaption
cocoDataset/trainval2014/val2014/COCO_val2014_000000561100.jpg,<start> a small airplane plane plane in a a <end>
cocoDataset/trainval2014/val2014/COCO_val2014_000000354533.jpg,<start> a motorcycle bike parked a a a a <end>
cocoDataset/trainval2014/val2014/COCO_val2014_000000334321.jpg,<start> a white dog a a a a a a <end>
cocoDataset/trainval2014/val2014/COCO_val2014_000000368117.jpg,<start> a traffic light with a lights a a <end>
cocoDataset/trainval2014/val2014/COCO_val2014_000000165547.jpg,<start> a dining table with a a a a <end>
cocoDataset/trainval2014/val2014/COCO_val2014_000000455859.jpg,<start> a group of people playing a a a <end>
cocoDataset/trainval2014/val2014/COCO_val2014_000000290570.jpg,<start> a herd of sheep standing in a a <end>
cocoDataset/trainval2014/val2014/COCO_val2014_000000017756.jpg,<start> a group of a boat boat a boat <end>
cocoDataset/trainval2014/val2014/COCO_val2014_000000305821.jpg,<start> two giraffes of giraffes standing in a trees <end>
cocoDataset/trainval2014/val2014/COCO_val2014_000000459374.jpg,<start> a fire hydrant hydrant water hydrant a a <end>
