imageFile,generatedCaption
cocoDataset/trainval2014/val2014/COCO_val2014_000000561100.jpg,<start> a small blue and white airplane is on the grass <end>
cocoDataset/trainval2014/val2014/COCO_val2014_000000354533.jpg,<start> a red and black motorcycle parked in a dirt field <end>
cocoDataset/trainval2014/val2014/COCO_val2014_000000334321.jpg,<start> a man and woman sitting on a bench with a dog <end>
cocoDataset/trainval2014/val2014/COCO_val2014_000000368117.jpg,<start> a traffic light with a sky background <end>
cocoDataset/trainval2014/val2014/COCO_val2014_000000165547.jpg,<start> a table with a vase of flowers on it <end>
cocoDataset/trainval2014/val2014/COCO_val2014_000000455859.jpg,<start> a group of people standing around a cage <end>
cocoDataset/trainval2014/val2014/COCO_val2014_000000290570.jpg,<start> a herd of sheep standing on top of a lush green field <end>
cocoDataset/trainval2014/val2014/COCO_val2014_000000017756.jpg,<start> a boat filled with lots of food next to a river <end>
cocoDataset/trainval2014/val2014/COCO_val2014_000000305821.jpg,<start> a giraffe standing next to another giraffe in a field <end>
cocoDataset/trainval2014/val2014/COCO_val2014_000000459374.jpg,<start> a fire hydrant with water spraying out of it <end>
