imageFile,generatedCaption
cocoDataset/trainval2014/val2014/COCO_val2014_000000561100.jpg,<start> a small blue and white airplane on a grassy field <end>
cocoDataset/trainval2014/val2014/COCO_val2014_000000354533.jpg,<start> a motorcycle that is parked in the dirt <end>
cocoDataset/trainval2014/val2014/COCO_val2014_000000334321.jpg,<start> a man sitting on a bench next to a white dog <end>
cocoDataset/trainval2014/val2014/COCO_val2014_000000368117.jpg,<start> a traffic light with a sky background <end>
cocoDataset/trainval2014/val2014/COCO_val2014_000000165547.jpg,<start> a table with a vase of flowers on it <end>
cocoDataset/trainval2014/val2014/COCO_val2014_000000455859.jpg,<start> a group of people walking down a sidewalk <end>
cocoDataset/trainval2014/val2014/COCO_val2014_000000290570.jpg,<start> a herd of sheep standing on top of a lush green field <end>
cocoDataset/trainval2014/val2014/COCO_val2014_000000017756.jpg,<start> a boat filled with flags floating on top of a river <end>
cocoDataset/trainval2014/val2014/COCO_val2014_000000305821.jpg,<start> a group of giraffes grazing in a field <end>
cocoDataset/trainval2014/val2014/COCO_val2014_000000459374.jpg,<start> a fire hydrant spraying water onto a street <end>
