imageFile,generatedCaption
cocoDataset/trainval2014/val2014/COCO_val2014_000000561100.jpg,<start> a small airplane is flying through the air <end>
cocoDataset/trainval2014/val2014/COCO_val2014_000000354533.jpg,<start> a motorcycle is parked on a dirt road <end>
cocoDataset/trainval2014/val2014/COCO_val2014_000000334321.jpg,<start> a couple of dogs sitting on a bench <end>
cocoDataset/trainval2014/val2014/COCO_val2014_000000368117.jpg,<start> a traffic light that has a red light on it <end>
cocoDataset/trainval2014/val2014/COCO_val2014_000000165547.jpg,<start> a dining table with a vase of flowers on it <end>
cocoDataset/trainval2014/val2014/COCO_val2014_000000455859.jpg,<start> a group of people walking down a street <end>
cocoDataset/trainval2014/val2014/COCO_val2014_000000290570.jpg,<start> a herd of sheep standing on top of a lush green field <end>
cocoDataset/trainval2014/val2014/COCO_val2014_000000017756.jpg,<start> a boat that is sitting in the water <end>
cocoDataset/trainval2014/val2014/COCO_val2014_000000305821.jpg,<start> a couple of giraffe standing next to each other <end>
cocoDataset/trainval2014/val2014/COCO_val2014_000000459374.jpg,<start> a fire hydrant in the middle of a street <end>
