imageFile,generatedCaption
cocoDataset/trainval2014/val2014/COCO_val2014_000000561100.jpg,<start> a small blue and white plane flying in the air <end>
cocoDataset/trainval2014/val2014/COCO_val2014_000000354533.jpg,<start> a motorcycle is parked in a dirt field <end>
cocoDataset/trainval2014/val2014/COCO_val2014_000000334321.jpg,<start> a man sitting on a bench next to a white dog <end>
cocoDataset/trainval2014/val2014/COCO_val2014_000000368117.jpg,<start> a couple of traffic lights on a pole <end>
cocoDataset/trainval2014/val2014/COCO_val2014_000000165547.jpg,<start> a table with a vase of flowers on it <end>
cocoDataset/trainval2014/val2014/COCO_val2014_000000455859.jpg,<start> a group of people standing next to each other <end>
cocoDataset/trainval2014/val2014/COCO_val2014_000000290570.jpg,<start> a herd of sheep standing on top of a lush green field <end>
cocoDataset/trainval2014/val2014/COCO_val2014_000000017756.jpg,<start> a boat with flags hanging from the side of it <end>
cocoDataset/trainval2014/val2014/COCO_val2014_000000305821.jpg,<start> a group of giraffe standing next to each other <end>
cocoDataset/trainval2014/val2014/COCO_val2014_000000459374.jpg,<start> a fire hydrant spraying water onto a street <end>
