imageFile,generatedCaption
cocoDataset/trainval2014/val2014/COCO_val2014_000000561100.jpg,<start> a small and and blue plane in in the <end>
cocoDataset/trainval2014/val2014/COCO_val2014_000000354533.jpg,<start> a motorcycle parked on a a a a <end>
cocoDataset/trainval2014/val2014/COCO_val2014_000000334321.jpg,<start> a dog sitting a a bench a a a bench <end>
cocoDataset/trainval2014/val2014/COCO_val2014_000000368117.jpg,<start> a traffic light with a a a a <end>
cocoDataset/trainval2014/val2014/COCO_val2014_000000165547.jpg,<start> a table table with a table and a a <end>
cocoDataset/trainval2014/val2014/COCO_val2014_000000455859.jpg,<start> a group of people playing a a a <end>
cocoDataset/trainval2014/val2014/COCO_val2014_000000290570.jpg,<start> a group of sheep standing in a a <end>
cocoDataset/trainval2014/val2014/COCO_val2014_000000017756.jpg,<start> a boat of a a on a a <end>
cocoDataset/trainval2014/val2014/COCO_val2014_000000305821.jpg,<start> two giraffes standing a a in in a <end>
cocoDataset/trainval2014/val2014/COCO_val2014_000000459374.jpg,<start> a fire hydrant hydrant a a a a <end>
